,Maroc,Vietnam,Afrique,India
count,1797.0,1827.0,1827.0,1827.0
mean,9.664314101553309,16.32610216024729,15.67135038087177,13.078520118625544
std,6.6831611041241,7.591213695740436,7.822420607349964,8.925634876951962
min,2.541817788843373,6.447123378485738,7.08879771071136,4.456808380006392
25%,6.048863453794131,10.35815545749655,11.740121260008493,8.384610288010714
50%,7.832878295271296,14.551294571632967,14.129569265354624,10.71432511193696
75%,11.16836515597765,19.54685559852371,17.12388368890651,14.430102399741857
max,51.91192218239962,43.84834818632401,69.5580041925541,73.42683396536458
skew,3.75387789908887,1.1786431450327997,4.162740022677683,3.9691912980204433
kurtosis,18.79572193413324,0.9291552415649025,22.350799408128445,19.969617589992808
missing,30.0,0.0,0.0,0.0
missing_pct,1.6420361247947455,0.0,0.0,0.0
